id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5631500400,20150225T000000,2,1,770,10000,1,N,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062
2008000270,20150115T000000,3,1.5,1060,9711,1,N,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
9212900260,20140527T000000,2,1,1160,6000,1,N,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000
8091400200,20140516T000000,2,1.5,1070,9643,1,N,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386
7589200193,20141110T000000,3,1,1090,3000,1.5,N,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080
7955080270,20141203T000000,4,2.75,2060,6659,1,N,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720
7895500070,20150213T000000,4,1,1220,8075,1,N,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800
4178300310,20140716T000000,4,2.5,2290,13416,2,N,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685
7518505990,20141231T000000,3,1.75,1410,4080,1,N,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080
7922800400,20140827T000000,5,3.25,3250,14342,2,N,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044
9528102996,20141207T000000,3,1.75,1540,1044,3,N,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090
3394100030,20140909T000000,4,2.5,2720,11049,2,N,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049
1802000060,20140612T000000,5,2.25,3200,20158,1,N,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158
1049000060,20150105T000000,3,2,1260,5612,1,N,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745
5416510140,20140710T000000,4,2.5,2380,5000,2,N,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000
2391600320,20150420T000000,3,1,1040,5060,1,N,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060
1531000030,20150323T000000,4,2.5,3450,39683,2,N,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750
9418400240,20141028T000000,2,1,2020,6720,1,N,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720
1523059105,20150128T000000,3,1.5,1680,8712,1,N,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797
4232902595,20141114T000000,3,1.5,2140,3600,2,N,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800
3342103156,20140618T000000,3,3.25,2770,6278,2,N,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349
1332700270,20140519T000000,2,2.25,1610,2040,2,N,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025
2791500270,20140522T000000,4,2.5,1980,7403,2,N,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510
5036300431,20150311T000000,5,2.75,3520,6353,2,N,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250
3422049190,20150330T000000,3,1.75,1960,15681,1,N,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616
9545230140,20140725T000000,4,2.5,2310,9624,2,N,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636
3362400511,20150304T000000,3,1.75,1260,3328,1,N,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536
3362400431,20140626T000000,3,3.5,1590,1102,3,N,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166
4060000240,20140623T000000,2,1,880,6780,1,N,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780
1695900060,20150511T000000,4,1,1610,2982,1.5,N,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040
3668000070,20150105T000000,3,1.75,1060,7875,1,N,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680
1243100136,20140612T000000,3,3.5,3950,111078,1.5,N,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,88500
2767602356,20150126T000000,4,3.5,2140,2278,3,N,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285
921049315,20140813T000000,3,1.75,1320,17390,1,N,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265
3655000070,20140805T000000,4,1.75,2020,7840,1,N,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140
4027700812,20140529T000000,4,2.25,2590,10002,1,N,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436
3992700335,20140707T000000,2,1,1190,4440,1,N,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715
2767603505,20140507T000000,3,2.25,1170,1249,3,N,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310
1777500060,20140708T000000,5,2.5,2820,9375,1,N,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375
3224079105,20140806T000000,2,2.5,2420,60984,2,N,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842
1994200024,20141104T000000,3,1,1430,3455,1,N,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599
7920100045,20140516T000000,1,1,700,5100,1,N,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100
6388930390,20141120T000000,5,3.5,3960,25245,2,N,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675
8731900200,20140807T000000,4,2.75,2640,7500,1,N,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875
2617300160,20140812T000000,3,2,2020,38332,1,N,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590
2558660270,20141208T000000,3,1.75,1580,7000,1,N,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500
1836980160,20150324T000000,4,2.5,2680,4499,2,N,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500
3261020370,20140605T000000,3,2.5,2680,9750,1,N,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750
1755700060,20140611T000000,3,2,1370,8336,1,N,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288
1762600070,20150116T000000,4,2.5,3880,35003,2,N,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230
5437810320,20141117T000000,3,1.5,1950,7560,1,N,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941
9158100075,20150107T000000,2,1,1350,8220,1,N,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,8280
1222069094,20141014T000000,3,1.75,1350,155073,1,N,0,4,7,1350,0,1969,0,98038,47.4058,-121.994,1560,50965
3211100860,20150303T000000,3,1,910,8450,1,N,0,4,6,910,0,1962,0,98059,47.4787,-122.158,1400,8040
7465900060,20150205T000000,3,1,1010,5864,1,N,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,1290,5000
6300000550,20140717T000000,6,3,2300,3404,2,N,0,3,7,1600,700,1920,1994,98133,47.7067,-122.343,1560,1312
2310030510,20150422T000000,4,2.25,1550,7579,2,N,0,3,8,1550,0,1993,0,98038,47.354,-122.047,1630,6397
1025049114,20140717T000000,3,2.25,1270,1566,2,N,0,3,8,1060,210,2014,0,98105,47.6647,-122.284,1160,1327
4014400292,20150114T000000,3,2.5,2714,17936,2,N,0,3,9,2714,0,2005,0,98001,47.3185,-122.275,2590,18386
5611500140,20140822T000000,4,2.5,2760,6440,2,N,0,3,10,2760,0,1999,0,98075,47.5836,-122.026,3070,8127
626059335,20140904T000000,4,2.25,2330,19436,2,N,0,3,8,2330,0,1987,0,98011,47.7663,-122.215,1910,10055
3677400445,20140902T000000,3,1.5,2480,5280,1.5,N,0,5,7,1620,860,1947,0,98108,47.5575,-122.303,2090,4800
326069104,20140701T000000,3,3.5,3830,221284,2,N,0,3,10,3530,300,1993,0,98077,47.7641,-122.023,2920,148539
5152100060,20140529T000000,6,2.5,4410,14034,1,N,2,4,9,2350,2060,1965,0,98003,47.3376,-122.324,2600,13988
2025069065,20140929T000000,4,2.5,3650,8354,1,Y,4,3,9,1830,1820,2000,0,98074,47.6338,-122.072,3120,18841
7899800890,20150226T000000,2,1.5,720,5120,1,N,0,3,6,720,0,1954,0,98106,47.5218,-122.357,1150,2566
1105000588,20150421T000000,3,1,1400,3538,1,N,0,3,7,800,600,1953,0,98118,47.5405,-122.27,1620,6331
3830630060,20140929T000000,3,2.5,1730,7442,2,N,0,3,7,1730,0,1987,0,98030,47.3507,-122.178,1630,6458
8722101360,20141202T000000,3,1,1660,4400,1.5,N,0,3,8,1460,200,1911,0,98112,47.6362,-122.302,1660,4400
2123039032,20141027T000000,1,0.75,760,10079,1,Y,4,5,5,760,0,1936,0,98070,47.4683,-122.438,1230,14267
8078560140,20140519T000000,4,2.5,1700,7280,2,N,0,4,7,1700,0,1988,0,98031,47.4045,-122.171,1950,7475
7974200510,20140814T000000,2,1,1070,4500,1,N,0,3,7,1070,0,1937,0,98115,47.6802,-122.29,1320,4465
4215100060,20150320T000000,3,2.5,2653,4510,2,N,0,3,8,2653,0,2006,0,98031,47.4145,-122.166,2653,4927
6874200960,20150227T000000,2,1,860,5265,1,N,0,3,6,860,0,1931,0,98178,47.5048,-122.272,1650,8775
7424700045,20150513T000000,5,3,3830,8480,2,N,1,5,9,2630,1200,1905,1994,98122,47.6166,-122.287,3050,7556
5634500392,20150410T000000,3,3,2420,13959,1,N,0,4,8,1740,680,1988,0,98028,47.7486,-122.23,2570,13300
1115450240,20141022T000000,4,2.5,2160,9528,2,N,0,3,9,2160,0,1992,0,98001,47.3341,-122.255,2280,9937
6073240060,20141002T000000,4,3,3280,11060,2,N,0,3,8,2270,1010,1986,0,98056,47.5399,-122.181,2320,11004
5468730030,20140822T000000,3,2,1320,8959,1,N,0,3,7,1320,0,1993,0,98042,47.3536,-122.144,1740,7316
600000152,20140602T000000,3,1.5,2030,8880,1,N,0,3,7,1330,700,1963,0,98108,47.5586,-122.311,2140,5592
7994700030,20141023T000000,5,1.75,1660,78408,1.5,N,0,3,6,1660,0,1915,0,98065,47.529,-121.837,1660,78408
1860600135,20140502T000000,5,2.5,3650,9050,2,N,4,5,10,3370,280,1921,0,98119,47.6345,-122.367,2880,5400
7771300125,20150408T000000,3,2,2590,14052,1,N,0,5,8,1720,870,1948,0,98133,47.7357,-122.333,1570,8162
325059286,20140513T000000,5,2.75,3150,7119,2,N,0,3,9,3150,0,2013,0,98052,47.6759,-122.151,1560,8384
2597650240,20141023T000000,3,2.25,2030,16200,2,N,0,3,8,2030,0,1984,0,98027,47.5162,-122.057,2660,17958
3353400435,20140721T000000,3,2,1450,11204,1,N,0,3,7,1450,0,2003,0,98001,47.2639,-122.252,1520,9518
7520000520,20140905T000000,2,1,1240,12092,1,N,0,3,6,960,280,1922,1984,98146,47.4957,-122.352,1820,7460
5009600070,20141007T000000,4,2.5,1960,5238,2,N,0,3,7,1960,0,2003,0,98038,47.3483,-122.052,1800,5894
200350070,20140602T000000,3,2.75,2930,5569,1,N,0,3,9,1860,1070,2004,0,98072,47.7648,-122.164,2580,11045
3969300030,20141229T000000,4,1,1000,7134,1,N,0,3,6,1000,0,1943,0,98178,47.4897,-122.24,1020,7138
616000140,20150126T000000,3,1,1900,14400,1,N,0,4,7,1300,600,1954,0,98166,47.4147,-122.337,1940,14400
9262800171,20150324T000000,4,1.5,1550,19800,1,N,0,4,7,1050,500,1969,0,98001,47.3117,-122.27,1640,22654
2231500030,20150324T000000,4,2.25,2180,10754,1,N,0,5,7,1100,1080,1954,0,98133,47.7711,-122.341,1810,6929
98020310,20140520T000000,4,2.5,3230,7331,2,N,0,3,10,3230,0,2004,0,98075,47.5823,-121.97,3480,7447
808300310,20150313T000000,4,2.25,2130,5337,2,N,0,3,7,2130,0,2001,0,98019,47.7237,-121.959,2300,6930
2890100060,20140801T000000,4,1.5,2040,10726,1,N,0,3,7,1380,660,1954,0,98177,47.772,-122.358,1610,10020
8857320070,20140917T000000,3,2.75,1980,3128,2,N,0,4,9,1980,0,1979,0,98008,47.6109,-122.114,1950,2856
4047200695,20140618T000000,3,2.5,1600,26977,2,N,0,3,8,1600,0,2005,0,98019,47.7736,-121.901,1790,27743
1923000030,20140728T000000,4,2.5,3840,16619,2,N,1,4,10,3840,0,1983,0,98040,47.5634,-122.213,3600,16553
1604601375,20140619T000000,3,2.5,2160,3000,1.5,N,0,3,7,1260,900,1909,2011,98118,47.5644,-122.289,1060,3500
2473251090,20140619T000000,4,1.75,1530,8750,1.5,N,0,4,7,1530,0,1968,0,98058,47.4556,-122.157,1390,8750
1565950030,20150427T000000,4,2.5,1930,6957,2,N,0,3,8,1930,0,1995,0,98055,47.4309,-122.191,2090,6996
